S.No,Software Name,Software link,One line discription,Software paid or not (Y/N),Reference (journel or publication name),Name of Person,Additional Remarks
237,Genatomy,http://www.c2b2.columbia.edu/danapeerlab/html/genatomy.html,"Genatomy is a visualizing tool for biological data, such as gene expression, genotypes, growth curves, copy number variation and more. It can be used to analyze the data mathematically and to study the biological aspects of the data and the results.",freely avilable,,chandrani,
238,GERMLINE,http://www1.cs.columbia.edu/~gusev/germline/,GERMLINE is an algorithm for discovering long shared segments of Identity by Descent (IBD) between pairs of individuals in a large population. It takes as input genotype or haplotype marker data for individuals (as well as an optional known pedigree) and generates a list of all pairwise segmental sharing.,freely avilable,,chandrani,
239,SCOPE,http://genie.dartmouth.edu/scope/,"SCOPE (Suite for Computational identification Of Promoter Elements), an ensemble of programs aimed at identifying novel cis-regulatory elements from groups of upstream sequences.",free,J.M. Carlson et al. 2007. Nucl. Acids Res. 35: W259-W264,Pavitra,
240,Promoter 2.0 Prediction Server,http://www.cbs.dtu.dk/services/Promoter/,predicts transcription start sites of vertebrate Pol II promoters in DNA sequences,free,,Pavitra,
241,WebGeSter,http://pallab.serc.iisc.ernet.in/gester/rungester.html,Genome Scanner for Terminators,free,Mitra A. et al. 2011.  Nucl. Acids Res. 39(Database issue):D129-35,Pavitra,
242,ARNold,http://rna.igmors.u-psud.fr/toolbox/arnold/index.php,"finds rho-independent terminators in nucleic acid sequences using two complementary programs, Erpin and RNAmotif",free,"Gautheret D, Lambert A. 2001. J Mol Biol. 313:1003–11 & Macke T. et al. 2001. Nucleic Acids Res. 29:4724–4735",Pavitra,
243,RibEx,http://132.248.32.45/cgi-bin/ribex.cgi,"scans <40kb DNA for potential genes (which are linked to BLASTP) and several hundred regulatory elements, including riboswitches",free,C. Abreu-Goodger & E. Merino. 2005. Nucl. Acids Res. 33: W690-W692,Pavitra,
244,Determix,http://determix.com/en/,"Provides biological databases, bioinformatics software and interactive keys.",Paid,"http://www.dmoz.org/Science/Biology/Software/
",Devesh Khandelwal,
245,DNA Dragon,http://www.dna-dragon.com/,"Sequence assembly and editing software for DNA sequences which also processes trace data and next generation sequencing data. Trial license available.
",Paid,"http://www.dmoz.org/Science/Biology/Software/
",Devesh Khandelwal,
246,Imstar,http://www.imstar.fr/,Bio-imaging software and fully automated systems for research and clinical diagnostic with focus on genetic diseases and cancers.,Paid,"http://www.dmoz.org/Science/Biology/Software/
",Devesh Khandelwal,
247,Kalaimoscope,http://www.kalaimoscope.com/,"Provides biological insights by finding, measuring and tracking image objects. High level statistical analysis tools and grid-computing capabilities are built in.",Paid,"http://www.dmoz.org/Science/Biology/Software/
",Devesh Khandelwal,
248,LabLife,http://www.lablife.org/,"Lab management software for academic biology research labs. Organize data and materials, coordinate purchasing, analyze sequences and share information.",,"http://www.dmoz.org/Science/Biology/Software/
",Devesh Khandelwal,
249,LemnaTec,http://www.lemnatec.com/,"Image processing software for biotests (Lemna, Bonit, Daphnia). Distributor for various software firms.",Paid,"http://www.dmoz.org/Science/Biology/Software/
",Devesh Khandelwal,
250,Sequence Editor,http://www.fr33.net/seqedit.php,"Convert DNA and RNA sequences. Generate antiparallel, complement and inverse sequences.",Free,,Pragya,
251,Expression View,http://www2.unil.ch/cbg/index.php?title=ExpressionView,"ExpressionView is an R package that provides an interactive environment to explore biclusters identified in gene expression data. A sophisticated ordering algorithm is used to present the biclusters in a visually appealing layout. From this overview, the user can select individual biclusters and access all the biologically relevant data associated with it.",Free. Available to Download since it is a R Package,,Pragya,
252,Translate,http://web.expasy.org/translate/,Translate is a tool which allows the translation of a nucleotide (DNA/RNA) sequence to a protein sequence.,Free.,ExPASy - Bioinformatics Resource Portal,Pragya,
253,Colorfly,http://stormo.wustl.edu/colorfy/,The tool that color-codes CLUSTAL alignment outputs based on individual column percentage makeup,Free.,StormoLab,Pragya,
254,Cufflinks,http://cufflinks.cbcb.umd.edu/,"Cufflinks assembles transcripts, estimates their abundances, and tests for differential expression and regulation in RNA-Seq samples. It accepts aligned RNA-Seq reads and assembles the alignments into a parsimonious set of transcripts. Cufflinks then estimates the relative abundances of these transcripts based on how many reads support each one, taking into account biases in library preparation protocols. ","Free, Available for installation and download",Stormo Lab,Pragya,
255,Bioinfx.net,http://bioinfx.net/,This website is a collection of easy-to-use online BIOINFORMATICS TOOLS for basic DNA and protein manipulations.,Free,,,
256,APACE - Automated Protein Annotation by Coordinate Evolution,http://stormo.wustl.edu/apace/,,Free,Stormo Lab,Pragya,
257,GreenGenie2,http://stormo.wustl.edu/GreenGenie2/,,Free,Stormo Lab,Pragya,
258,Consensus / Consensus-vio,http://stormo.wustl.edu/consensus/cgi-bin/Server/Interface/basic_consensus.cgi,This program determines consensus patterns in unaligned sequences. The algorithm is based on a matrix representation of a consensus pattern.,,Stormo Lab,Pragya,
259,WConsensue,http://stormo.wustl.edu/consensus/cgi-bin/Server/Interface/basic_wconsensus.cgi,This is the modified version of consensus. This program will determine the width of the pattern being sought.,Free,Stormo lab,Pragya,
260,Patser,http://stormo.wustl.edu/consensus/cgi-bin/Server/Interface/basic_patser.cgi,This program scores the L-mers (subsequences of length L) of the indicated sequences against the indicated alignment or weight matrix.,Free,Stormo lab,Pragya,
261,Sequence Logo,http://stormo.wustl.edu/consensus/cgi-bin/Server/Interface/basic_Logo.cgi,This program generates sequence logo of aligned sequences or matrix in .png format image.,Free,Stormo lab,Pragya,
262,BEEML,http://stormo.wustl.edu/resources.html,Binding Energy Estimation by Maximum Likelihood,Available to download for free,Stormo lab,Pragya,
263,StructRED,http://stormo.wustl.edu/StructRED/,Structural Cis-Regulatory Element Detector (StructRED) is an alignment-free algorithm that discovers secondary structure-defined cis-regulatory elements in mRNAs by modeling the effects that their occurrences exert on quantitative measurements of mRNA behavior in the form of microarray data. ,Available for Download,Stormo lab,Pragya,
264,RNA Sampler,http://stormo.wustl.edu/RNASampler/index.html,RNA Sampler is a sampling based program that predicts common RNA secondary structure motifs in a group of related sequences,Available for Download,Stormo lab,Pragya,
265,CRML,http://stormo.wustl.edu/gzhao/CRMLhome.html,Muscle Cis-Regulatory Module Locator (CRML) is a web tool for predicting cis-regulatory modules that direct muscle-specific gene expression in C. elegans,Available for Download,Stormo lab,Pragya,
266,RSSVM,http://stormo.wustl.edu/resources.html,"RNA SAmpler + SVM, the Support Vector Machine (SVM) based RNA motif identifier for RNA Sampler generated common RNA structures and alignments. ",Available for Download,Stormo lab,Pragya,
267,zifNet,http://stormo.wustl.edu/resources.html,For context dependent DNA recognition codefor C2H2 Zinc finger transcription factors.,Available for Download,Stormo lab,Pragya,
268,Probe Select,http://stormo.wustl.edu/resources.html,,Available for Download,Stormo lab,Pragya,
269,LOCUS,http://stormo.wustl.edu/resources.html,(Length Optimized Characterization of Unknown Spliceforms) evidence based gene finding algorithm,Available for Download,Stormo lab,Pragya,
270,comRNA,http://stormo.wustl.edu/resources.html,A common RNA secondary structure predictor,Available for Download,Stormo lab,Pragya,
271,Mat Align,http://stormo.wustl.edu/resources.htmlhttp://stormo.wustl.edu/resources.html,Matrix Aligner,Available for Download,Stormo lab,Pragya,
272,PhyloCon,http://stormo.wustl.edu/resources.html,"Phylogenetic Consensus, combining phylogenetic data with coregulated gened to identify regulatory motifs",available for Download,stormo lab,Pragya,
273,PhyloNet,http://stormo.wustl.edu/resources.html,Motif Discovery at Whole Genome level,available for Download,Stormo Lab,Pragya,
274,Co-Bind,http://stormo.wustl.edu/resources.html,Identify target sites for cooperatively binding transcription data,available for Download,Stormo Lab,Pragya,
275,PromFD,http://stormo.wustl.edu/resources.html,Predict promoter regions in DNA Sequences,available for Download,Stormo Lab,Pragya,
276,GeneParser,http://stormo.wustl.edu/resources.html,Find genes in a genome,available for Download,Stormo Lab,Pragya,
277,Landscape,http://stormo.wustl.edu/resources.html,Build gene landscape for intron and exon prediction,available for Download,Stormo Lab,Pragya,
278,Consensus,http://stormo.wustl.edu/resources.html,Find DNA and Protein patterns,available for download,Stormo Lab,Pragya,
279,GRaMS,http://stormo.wustl.edu/resources.html,Growth Rate Modeling of Specificity Software,available for download,Stormo Lab,Pragya,
280,QPLOMA,http://stormo.wustl.edu/resources.html,Quadratic Programming Method for Motif Determination with comparison programs,available for download,Stormo Lab,Pragya,
281,Magma,http://stormo.wustl.edu/resources.html,Multiple alignments of genomic multiple alignments,available for download,Stormo Lab,Pragya,
282,c elegans PhyloNet,http://stormo.wustl.edu/resources.html,Motifs and sites,available for download,Stormo Lab,Pragya,
283,TF-BEMs,http://stormo.wustl.edu/resources.html,Score Calculation (BEMSER) and Sequence Logo Development(Energy logo) based upon Binding Energy Models,Available for download,Stormo Lab,Pragya,
284,ElMMo miRNA target prediction server,http://www.mirz.unibas.ch/ElMMo3/,,Free,Swiss Institute for Bioinformatics,Pragya,
285,ISMARA - Integrated System for Motif Activity Response Analysis,https://ismara.unibas.ch/fcgi/mara,,Free,,Pragya,
286,SIBsim4,http://sibsim4.sourceforge.net/,"The SIBsim4 project is based on sim4, which is a program designed to align an expressed DNA sequence with a genomic sequence, allowing for introns",Source Code available for Download,,Pragya,
287,CLIPZ - mRNA Extraction,http://www.clipz.unibas.ch/index.php?r=tools/newsiteExtraction,"The method for mRNA site extraction based on the enrichment of a site in reads relative to the mRNA expression estimated from mRNA-seq is described
in Jaskiewicz, Bilen, Hausser and Zavolan ""Argonaute CLIP - A method to identify in vivo targets of miRNAs"", Methods 2012",Free,,Pragya,
288,TromER,,Transcription Analysis database,Free,Swiss Institute for Bioinformatics,Pragya,
289,CLIPZ - mRNA Expression level,http://www.clipz.unibas.ch/index.php?r=tools/expressionLevels,"The method for estimating mRNA expression levels from mRNA-seq data is described in Jaskiewicz, Bilen, Hausser and Zavolan ""Argonaute CLIP -
A method to identify in vivo targets of miRNAs"", Methods 2012.",Free,,Pragya,
290,CLIPZ - Transcript view,http://www.clipz.unibas.ch/index.php?r=tools/transcriptView/index,Look at density profiles of your samples for a specific transcript.,Free,,Pragya,
291,CLIPZ - miRNA - Sample Clustering,http://www.clipz.unibas.ch/index.php?r=tools/mirna/clustering/index,Sample Clustering of miRNA,Free,,Pragya,
292,CLIPZ - miRNA - Sample Coparison,http://www.clipz.unibas.ch/index.php?r=tools/mirna/comparison/index,Compare miRNA expression between two selected (sets of) samples.,Free,,Pragya,
293,CLIPZ - miRNA - Expression profiles,http://www.clipz.unibas.ch/index.php?r=tools/mirna/expression/index,Visualize the frequencies of selected miRNAs across a selected set of samples,Free,,Pragya,
294,smirnaDB,http://www.mirz.unibas.ch/cloningprofiles/,Visualization of miRNA Expression Profiles,Free,,Pragya,
295,Evidential Gene,http://arthropods.eugenes.org/EvidentialGene/,Evidence Directed Gene Constructiion for Eukaryotes,Free,,Pragya,
296,IPknot,,Fast and accurate prediction of RNA secondary structures with pseudoknots using integer programming.,Free,,Pragya,
297,Arnold,http://rna.igmors.u-psud.fr/toolbox/arnold/,"RNA Sequence, Structure and Function Lab. Easy identification of Rho–independent transcription terminators",Free,,Pragya,
298,FUSIM,http://aebruno.github.io/fusim/,a software tool for simulating,Free,,Pragya,
299,KineFold,http://kinefold.curie.fr/cgi-bin/form.pl,Folding kinetics of RNA sequences including pseudoknots by including an implementation of the partition function for knots.,Free,,Pragya,
300,MC-Fold MC-Sym Pipeline,http://www.major.iric.ca/MC-Pipeline/,Thermodynamics and Nucleotide cyclic motifs for RNA structure prediction algorithm. 2D and 3D structures,Free,,Pragya,
301,pknotsRG,http://bibiserv.techfak.uni-bielefeld.de/pknotsrg/submission.html,A dynamic programming algorithm for optimal RNA pseudoknot prediction using the nearest neighbour energy model.,Free - Service may be discontinued in the future because latest version of pKiss includes the same function,,Pragya,
302,pKiss,http://bibiserv2.cebitec.uni-bielefeld.de/pkiss?id=pkiss_view_submission,A dynamic programming algorithm for the prediction of a restricted class (H-type and kissing hairpins) of RNA pseudoknots.,Free.,,Pragya,
303,LocRNA,http://rna.informatik.uni-freiburg.de:8080/LocARNA/Input.jsp,"LocaRNA is the successor of PMcomp with an improved time complexity. It is a variant of Sankoff's algorithm for simultaneous folding and alignment, which takes as input pre-computed base pair probability matrices from McCaskill's algorithm as produced by RNAfold -p. Thus the method can also be viewed as way to compare base pair probability matrices.",Free,,Pragya,
304,KNetFold,http://knetfold.abcc.ncifcrf.gov/,Computes a consensus RNA secondary structure from an RNA sequence alignment based on machine learning.,Free,,Pragya,
305,FRUUT,http://www.cs.bgu.ac.il/~negevcb/FRUUT/,"A pairwise RNA structural alignment tool based on the comparison of RNA trees. Considers alignments in which the compared trees can be rooted differently (with respect to the standard “external loop” corresponding roots), and/or permuted with respect to branching order.",Free,,Pragya,
306,Murlet,http://murlet.ncrna.org/murlet/murlet.html,a multiple alignment tool for RNA sequences using iterative alignment based on Sankoff's algorithm with sharply reduced computational time and memory.,Free,,Pragya,
307,MXSCARNA,http://mxscarna.ncrna.org/mxscarna/mxscarna.html,a multiple alignment tool for RNA sequences using progressive alignment based on pairwise structural alignment algorithm of SCARNA.,,,Pragya,
308,pAliKiass,http://bibiserv2.cebitec.uni-bielefeld.de/palikiss,"pAliKiss predicts RNA secondary structures for fixed RNA multiple sequence alignments, with special attention for pseudoknotted structures. This program is an offspring of the hybridization of RNAalishapes and pKiss.",,,Pragya,
309,pFold,http://www.daimi.au.dk/~compbio/rnafold/,Folds alignments using a SCFG trained on rRNA alignments.,,,Pragya,
310,T-Coffee,http://www.tcoffee.org/,"A collection of tools for Computing, Evaluating and Manipulating Multiple Alignments of DNA, RNA, Protein Sequences and Structures",,,Pragya,
311,RNAalishapes,http://bibiserv2.cebitec.uni-bielefeld.de/rnaalishapes,A tool for secondary structure prediction for precomputed alignments using a combination of free-energy and a covariation measures. Output can be sifted by the abstract shapes concept to focus on major difference in sub-optimal results.,,,Pragya,
312,phylocom,http://phylodiversity.net/phylocom/download.awk,"Software for the Analysis of Phylogenetic Community Structure and Character Evolution, with Phylomatic",free,,kapil,
313,Dendroscope,http://ab.inf.uni-tuebingen.de/data/software/dendroscope3/download/welcome.html,Software for visualizing phylogenetic trees and rooted networks.,free,,kapil,
314,CGViz,http://ab.inf.uni-tuebingen.de/data/software/cgviz/download/welcome.html,CGViz - a highly configurable viewer for biomolecular data,free,,kapil,
315,copycat,http://www.cophylogenetics.com/download/,CopyCat provides an easy and fast access to cophylogenetic analyses,free,,kapil,
316,crosslink,http://ab.inf.uni-tuebingen.de/software/crosslink/webstart/welcome.html,CrossLink: visualization and exploration of sequence relationships between (micro) RNAs,free,,kapil,
317,DIAMOND,"http://ab.inf.uni-tuebingen.de/software/diamond/
","DIAMOND is a new high-throughput program for aligning a file of short reads against a protein reference database such as NR, at 20,000 times the speed of BLASTX, with high sensitivity",free,,kapil,
318,"
Already managed database","http://bioinf.man.ac.uk/robertson/recombination/programs.shtml
","already made database.
links to recombinant sequence analysis/detection programs.
","
",,Simmi,
319,Already managed database,stephenslab.uchicago.edu/software.html,"software for genetic association
analysis of multiple related phenotypes.",,,Simmi,
320,recombine,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0025509,A Suite of Programs for Detection and Analysis of Meiotic Recombination in Whole-Genome Datasets,,,Simmi,
321,Already managed database,http://www.eecs.berkeley.edu/~yss/software.html,Varied usage,,,Simmi,
322,TOPALi,"
http://www.topali.org/topali-v1/","TOPALi provides an intuitive graphical interface for working
with existing statistical methods designed for detecting recombination
in DNA sequence alignments. Once recombinant regions have been
identified, further (automated if desired) analysis is then possible,
including the creation of Phylogenetic trees, mosaic structure
predictions, and HTML report generation.",Free,,Simmi,
323,Mutation Surveyor®,http://www.softgenetics.com/mutationSurveyor.html,"Mutation Surveyor® software is a powerful and accurate
DNA  Sequencing analysis tool for Sanger Sequencing files generated by
Applied  Biosystems Genetic Analyzers, MegaBACE, and Beckman CEQ
electrophoresis  systems. Capable of performing variant analysis of up
to 2000 Sanger sequencing  files (.ab1, .RSD, .ESD & .scf) in 15
minutes, Mutation Surveyor delivers  excellent accuracy, sensitivity,
and low false positive and false negative  rates in the analysis of DNA
variants, including: single nucleotide  polymorphisms (SNPs), insertions and  deletions (INDELS), and somatic mutations in direct sequencing, PCR sequencing, Mitochondrial DNA sequencing, and  resequencing projects.",Paid,,Simmi,
324,Mutattion detector,http://www.lifetechnologies.com/in/en/home/technical-resources/software-downloads/mutation-detector-software.html,"
",Paid,,Simmi,
325,Assign™ ATF,http://www.conexio-genomics.com/index.php?option=com_content&view=article&id=12&Itemid=9,"Assign™ ATF is a high throughput, automated DNA sequence
mutation/variant detection sequence analysis software product that
produces graphed quality control information in a unique and informative
 manner. Laboratories are able to track sequence quality over time to improve testing accuracy and save time.",paid,,Simmi,
326,"
Already managed database Driver mutations (DNA-seq analysis)",http://omictools.com/driver-mutations-c142-p1.html,"Distinguishing driver mutations from passenger mutations is critical to
the understanding of the molecular mechanisms of carcinogenesis and for
identifying prognostic and diagnostic markers as well as therapeutic
targets. Approaches to identify driver mutations in the context of
pathways or gene sets are available",,,Simmi,
327,Already managed database for various uses,http://en.bio-soft.net/dna.html,"3D Molecular Modeling
      DNA Sequence Analysis
      RNA  Analysis
      Plasmid Map
      Image Analysis
      Sequence Alignment & Analysis
      Bio-Chip
      Miscellaneous
      Chemical Drawing Tools",,,Simmi,
328,EnzymeX ,http://nucleobytes.com/index.php/enzymex,Restriction enzyme information for almost 700 commercially available enzymes,,,Simmi,
329,restriction mapper,http://www.restrictionmapper.org/,"aps sites for restriction enzymes, a.k.a. restriction endonucleases, in DNA sequences.
      Also does virtual digestion.
   ",free,,Simmi,
330,Gene construction kit,http://www.textco.com/gene-construction-kit.php,"The Gene Construction Kit® (GCK) program has been the preferred plasmid
mapping software of leading researchers for more than 20 years. GCK
allows easy manipulation of DNA sequences, either graphically or as sequence text
 - quickly saving users both time and money. GCK eliminates tedious
examination of DNA sequence data by automatically identifying open reading frames (ORF's), keeping track of sticky ends during cutting and pasting of restriction enzyme digestion fragments, assisting with PCR primer design, and enabling comprehensive annotation of DNA sequence features. ",paid,,Simmi,
331,RESTRICTION ENDONUCLEASE DIGESTION,http://molbiol-tools.ca/Restriction_endonuclease.htm,Restriction-Modification Systems,,,simmi,
332,A plasmid Editor,http://biologylabs.utah.edu/jorgensen/wayned/ape/,"Text map shows DNA sequence, translation, and features as text-based graphics

Creates graphic restriction maps- linear or circular with features indicated
     Connects graphic and text features with hyperlink double click
     Saves graphics as encapsulated postscript or scalable vector graphics
     Copy and save graphics as Windows metafiles (MS Windows only)
        ",,,simmi,
333,Snapgene,https://www.snapgene.com/products/snapgene/about_snapgene/,"SnapGene is the first molecular biology software that is easier to use
than pen and paper. Now every DNA construct made in your lab can be
documented in a rich electronic format… and thanks to the free SnapGene Viewer, the files can be shared with colleagues around the world.
",paid,,simmi,
334,Sequence editor and plasmid drawing,http://www.geneinfinity.org/sp/sp_seqsoft.html,Sequence editor and plasmid drawing,,,simmi,
335,NEB Cutter2,http://tools.neb.com/NEBcutter2/,"This tool will take a DNA sequence and find the large, non-overlapping open
reading frames using the E.coli genetic code and the sites for all Type II
and commercially available Type III
restriction enzymes that cut the sequence just once. By default, only enzymes
available from NEB are used, but other sets may be chosen. Just enter your
sequence and ""submit"".  Further options will appear with the output.
",free,,simmi,
336,DESIGN PCR PRIMERS,http://molbiol-tools.ca/PCR.htm,"This site has a very powerful PCR
      primer design program permitting one considerable control over the nature
      of the primers, including size of product desired, primer size and Tm
      range, and presence/absence of a
               3’-GC clamp",,,simmi,
,DynaDup,http://www.cs.utexas.edu/~phylo/software/dynadup/,"DynaDup is a Java program for estimating species trees given a set of rooted gene trees, minimizing duplications or duplication and losses (approximately)",free,,kapil,
338,FatSp,http://www.cs.utexas.edu/~phylo/software/fastsp/,FastSP is a Java program for computing alignment error (SP-FN) quickly and using little memory.,free,,kapil,
339,SEEP,https://github.com/smirarab/sepp,SATé-enabled phylogenetic placement (SEPP) is a software package for phylogenetic placement.,free,,kapil,
340,SuperFine,http://www.cs.utexas.edu/~phylo/software/superfine/submission/,SuperFine is software for constructing supertrees from source phylogenies.,free,,kapil,
341,PHAST,http://compgen.bscb.cornell.edu/phast/,software package for comparative and evolutionary genomics.,free,,kapil,
342,ASAP,http://asap.ahabs.wisc.edu/software/asap/,"ASAP is designed to organize the data associated with a genome from the early stages of sequence annotation through genetic and biochemical characterization, providing a vehicle for ongoing updates of the annotation and a repository for genome-scale experimental data",free,,kapil,
343,Mauve,http://gel.ahabs.wisc.edu/mauve/download.php,Mauve is a system for efficiently constructing multiple genome alignments in the presence of large-scale evolutionary events such as rearrangement and inversion.,free,,kapil,
344,GRIL,http://asap.ahabs.wisc.edu/software/gril/,GRIL is a tool that can be used to identify the location of rearrangements and inversions in the backbone of a set of DNA sequences.,free,,kapil,
345,DNASTAR,http://www.dnastar.com/t-dnastar-lasergene.aspx,DNASTAR's MegAlign is sequence alignment software offering both DNA and protein sequence alignment using a range of pairwise and multiple alignment methods.,paid,,kapil,
346,"GeneStudio, Inc.",http://genestudio.com/download,GeneStudio™ Pro is our Molecular Biology Suite.,free,,kapil,
347,DARwin,http://darwin.cirad.fr/product.php,DARwin is organized in several independent and complementary sections which manage their own input data that can be inherited from other sections or directly imported from other sources. Standard data formats are available as input and output.,free,,kapil,
348,PHASE,http://c4c.uwc4c.com/express_license_technologies/phase,The program PHASE implements methods for estimating haplotypes from population genotype data described in,free,,kapil,
349,BRidGE,http://stephenslab.uchicago.edu/bridge/index.html,BRIdGE implements a Bayesian approach for identifying gene-environment interactions when paired phenotypic measurements are taken under two environmental conditions,free,,kapil,
350,fastPHASE,http://c4c.uwc4c.com/express_license_technologies/fastphase,"software for haplotype reconstruction, and estimating missing genotypes from population data",free,,kapil,
351,Genome-wide Efficient Mixed Model Association (GEMMA),http://www.xzlab.org/software.html,software implementing the Genome-wide Efficient Mixed Model Association algorithm for a standard linear mixed model and some of its close relatives for genome-wide association studies (GWAS),free,,kapil,
352,HOTSPOTTER,http://stephenslab.uchicago.edu/software.html#hotspotter,software for identifying recombination hotspots from population SNP data,free,,kapil,
353,MethylHMM,http://stephenslab.uchicago.edu/software.html#methylhmm,inference under hidden Markov models for double-stranded DNA methylation data,free,,kapil,
354,mvBIMBAM,"https://github.com/heejungshim/mvBIMBAM
",software for genetic association analysis of multiple related phenotypes.,free,,kapil,
355,WaveQTL,https://github.com/heejungshim/WaveQTL,a wavelet-based approach for genetic association analysis of functional phenotypes,free,,kapil,
356,Sparse Factor Analysis (SFA),http://stephenslab.uchicago.edu/software.html#sfa,"This software uses ECME to compute a sparse, low-rank matrix
 factorization for a given matrix,",free,,kapil,
357,TreeDyn,http://www.treedyn.org/download.html,towards dynamic graphics & annotations for trees analyses,free,,kapil,
358,HGT_simul,http://kimura.univ-montp2.fr/HGT/,implements the phylogenomic simulation procedure described in:Galtier N. 2007.,free,,kapil,
359,Phylo_win,http://kimura.univ-montp2.fr/phylo_win/phylowin.html,Phylo_win is a graphical colour interface for molecular phylogenetic inference,free,,kapil,
360,metaPIGA,http://www.metapiga.org/,"is a robust implementation of several stochastic heuristics for large phylogeny inference (under maximum likelihood). It includes a  random-restart hill climbing, a simulated annealing algorithm, a classical genetic algorithm, and the metapopulation genetic algorithm (metaGA).",free,,kapil,
361,LibrAlign,http://bioinfweb.info/LibrAlign/,Java library for creating graphical user interfaces dealing with multiple sequence alignments and attached raw and meta data.,free,,kapil,
362,bioinfweb.commons.java,http://commons.bioinfweb.info/Java/Download,Java library (see the license for details) consisting of different modules to be used in bioinformatics or in a general purpose. It contains classes and interfaces that have been developed for different bioinfweb software projects and are of general use.,free,,kapil,
363,TreeGraph 2,http://treegraph.bioinfweb.info/,"TreeGraph 2 is a graphical editor for phylogenetic trees which allows you to apply lots of graphical formats to the elements of your tree. Moreover, it supports several (visible or invisible) annotations (e.g. support values) for every branch or node",free,,kapil,
364,AlignmentComparator,http://bioinfweb.info/AlignmentComparator/,AlignmentComparator is a GUI application to efficiently visualize and annotate differences between alternative multiple sequence alignments of the same data set.,free,,kapil,
365,PhyDE,http://www.phyde.de/download.html,"System-independent editor for DNA and amino acid sequence alignments, designed to assist anybody interested in phylogenetic or other comparative analyses of sequence data",free,,kapil,
366,PRAP2,http://bioinfweb.info/Software/PRAP2,Parsimony and likelihood ratchet analyses with PAUP*,free,,kapil,
367,TreeGraph,"http://www.jmüller.name/treegraph
",Automated drawing of phylogenetic trees using an extensible tree description format,free,,kapil,
368,PRAP,http://bioinfweb.info/Software/PRAP,Parsimony ratchet analyses with PAUP* including random addition cycles of the ratchet and calculation of Bremer support applying the ratchet.,free,,kapil,
369,PRAT,http://bioinfweb.info/Software/PRAT,The command-line precursor of PRAP. (Note: PRAP2 is recommended as much more user-friendly version.),free,,kapil,
370,QuickAlign,http://bioinfweb.info/Software/QuickAlign,Alignment editor for Macinthosh computers,free,,kapil,
371,GRate,http://bioinfweb.info/Software/GRate,Relative Rate Test for Groups of Taxa Using General DNA Substitution Models in PAUP*,free,,kapil,
372,phyluce,https://github.com/faircloth-lab/phyluce/,"analyzing data collection from UCE loci. Contains command-line applications for assembling contigs from sequence data, finding which contigs align to UCEs, aligning UCE contigs, and preparing data for downstream analysis in mrbayes, raxml, and cloudforest",free,,kapil,
373,illumiprocessor,https://github.com/faircloth-lab/illumiprocessor/,"A program for automated cleaning of fastq files from sequencing. Removes adapter contamination using scythe and trims reads for quality using sickle. Concatenates reads into an ""interleaved"" fastq.gz file for use with velvet.",free,,kapil,
374,splitaake,https://github.com/faircloth-lab/splitaake/,A program for demultiplexing massively parallel sequencing reads tagged with edit distance or Hamming distance sequence tags - tailored to edit distance tags (see Tags). Capable of demultiplexing hundreds of sequence tagged libraries at once.,free,,kapil,
375,cloudforest,https://github.com/brantfaircloth/cloudforest,A program started by Nick Crawford with contributions from Brant Faircloth for parallel computation of individual genetrees and the estimation of a species tree from gene tree data. Allows analysis and bootstrapping of large datasets. Uses elastic map reduce or multiprocessing to analyze data in parallel. MPI version coming soon.,free,,kapil,
376,QIIME,https://github.com/biocore/qiime,"Quantitative Insights Into Microbial Ecology. QIIME is an open source software package for comparison and analysis of microbial communities, primarily based on high-throughput amplicon sequencing data (such as SSU rRNA) generated on a variety of platforms, but also supporting analysis of other types of data (such as shotgun metagenomic data)",,,kapil,
,"I am just adding the softwares as I find. While I am checking for any duplicates, I'll remove them when I'm done. Also, I'll be paraphrasing the description where required. - Prashant",,,,,,
377,Scansite 3,http://scansite3.mit.edu/#home,"Scansite searches for motifs within proteins that are likely to be phosphorylated by specific protein kinases or bind to domains such as SH2 domains, 14-3-3 domains or PDZ domains.",free,,Prashant,
378,Motif Search - Protien Motif,http://motifsearch.com/index.php?page=motifproteinseq,This online motif search tools will help people detect new unknown motif sequences that may be present in their input sequences. These tools include two features: finding de-novo DNA motif sequences and finding de-novo protein motif sequences.,free,,Prashant,
379,MyHits - Pattern Search,http://myhits.isb-sib.ch/cgi-bin/pattern_search,This form lets people search the protein databases with a pattern written according to the Prosite syntax. Syntax: http://myhits.isb-sib.ch/cgi-bin/help?doc=pattern.html,free,,Prashant,
380,MyHits - BLASTP,http://myhits.isb-sib.ch/cgi-bin/blast?action=psi_blast_query,This web interface to PSI-BLAST is meant to be used in conjunction with the MSA hub. The tutorial is available at: http://myhits.isb-sib.ch/cgi-bin/help?doc=tutorial-psi.html,free,,Prashant,
381,MyHits - HMMER3 - Web Service,http://myhits.isb-sib.ch/cgi-bin/hmmer3_search,"This form lets people build a HMMER3 profile-HMM from a multiple sequence alignment (MSA), and search the databases of protein sequences with it.",free,,Prashant,
